127.0.0.1 - - [21/Aug/2024:19:33:28 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:33:29 -0300] "GET /aulaEly/formularios/churrasco.jsp HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:33:29 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:33:39 -0300] "GET /aulaEly/formularios/churrasco.jsp HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:33:39 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:56:44 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:56:44 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:56:49 -0300] "POST /aulaEly/validaLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:56:49 -0300] "GET /aulaEly/invalido.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:57:00 -0300] "POST /aulaEly/validaLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:57:00 -0300] "GET /aulaEly/invalido.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:57:12 -0300] "POST /aulaEly/validaLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:57:12 -0300] "GET /aulaEly/invalido.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:58:42 -0300] "GET /aulaEly/invalido.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:58:46 -0300] "POST /aulaEly/validaLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:58:46 -0300] "GET /aulaEly/invalido.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:58:48 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:58:48 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:58:48 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:58:48 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:58:49 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:58:52 -0300] "POST /aulaEly/validaLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:58:52 -0300] "GET /aulaEly/invalido.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:59:32 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:59:32 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:59:33 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:59:37 -0300] "POST /aulaEly/validaLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:59:37 -0300] "GET /aulaEly/invalido.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:01:30 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:01:31 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:01:31 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:01:31 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:01:31 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:01:31 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:01:31 -0300] "GET /aulaEly/index.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:01:39 -0300] "POST /aulaEly/validaLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:01:39 -0300] "GET /aulaEly/invalido.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:01:52 -0300] "POST /aulaEly/validaLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:01:52 -0300] "GET /aulaEly/adimn.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:02:05 -0300] "POST /aulaEly/validaLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:20:02:05 -0300] "GET /aulaEly/normal.jsp HTTP/1.1" 200 159
