127.0.0.1 - - [27/Aug/2024:20:15:28 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:15:29 -0300] "GET /aulaEly/cadastro/index.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:15:29 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:15:32 -0300] "GET /aulaEly/cadastro/formulario.jsp HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:15:45 -0300] "POST /aulaEly/cadastro/gravar.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:15:47 -0300] "GET /aulaEly/cadastro/index.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:18:20 -0300] "GET /aulaEly/cadastro/index.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:18:22 -0300] "GET /aulaEly/cadastro/index.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:18:23 -0300] "GET /aulaEly/cadastro/index.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:18:26 -0300] "GET /aulaEly/cadastro/index.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:18:32 -0300] "GET /aulaEly/cadastro/index.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:18:45 -0300] "GET /aulaEly/cadastro/index.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:18:48 -0300] "GET /aulaEly/cadastro/listar.jsp HTTP/1.1" 200 371
